Start Time: 12:55:44
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.128, 0.006, 0.011
ridge            , LeaveOneClipOutForAllSubject, pca5, likeability, True, True, 0.111, 0.016, 0.012
linear_regression, LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.135, 0.004, 0.011
ridge            , LeaveOneClipOutForAllSubject, pca6, likeability, True, True, 0.128, 0.006, 0.016
linear_regression, LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.123, 0.008, 0.006
ridge            , LeaveOneClipOutForAllSubject, pca7, likeability, True, True, 0.112, 0.016, 0.012
linear_regression, LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.135, 0.003, 0.010
ridge            , LeaveOneClipOutForAllSubject, pca8, likeability, True, True, 0.121, 0.009, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.136, 0.003, 0.009
ridge            , LeaveOneClipOutForAllSubject, pca9, likeability, True, True, 0.121, 0.009, 0.015
linear_regression, LeaveOneClipOutForAllSubject, pca10, likeability, True, True, 0.128, 0.006, 0.004
ridge            , LeaveOneClipOutForAllSubject, pca10, likeability, True, True, 0.110, 0.017, 0.012
linear_regression, LeaveOneClipOutForAllSubject, pca11, likeability, True, True, 0.138, 0.003, 0.006
ridge            , LeaveOneClipOutForAllSubject, pca11, likeability, True, True, 0.120, 0.009, 0.014
linear_regression, LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.177, 0.000, 0.031
ridge            , LeaveOneClipOutForAllSubject, pca2, rewatch    , True, True, 0.168, 0.000, 0.025
linear_regression, LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.169, 0.000, 0.027
ridge            , LeaveOneClipOutForAllSubject, pca3, rewatch    , True, True, 0.155, 0.001, 0.022
linear_regression, LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.174, 0.000, 0.028
ridge            , LeaveOneClipOutForAllSubject, pca4, rewatch    , True, True, 0.164, 0.000, 0.025
linear_regression, LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.183, 0.000, 0.030
ridge            , LeaveOneClipOutForAllSubject, pca5, rewatch    , True, True, 0.174, 0.000, 0.028
linear_regression, LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.187, 0.000, 0.030
ridge            , LeaveOneClipOutForAllSubject, pca6, rewatch    , True, True, 0.188, 0.000, 0.033
linear_regression, LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.174, 0.000, 0.024
ridge            , LeaveOneClipOutForAllSubject, pca7, rewatch    , True, True, 0.174, 0.000, 0.029
linear_regression, LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.191, 0.000, 0.031
ridge            , LeaveOneClipOutForAllSubject, pca8, rewatch    , True, True, 0.188, 0.000, 0.033
linear_regression, LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.194, 0.000, 0.032
ridge            , LeaveOneClipOutForAllSubject, pca9, rewatch    , True, True, 0.195, 0.000, 0.035
linear_regression, LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True, 0.183, 0.000, 0.026
ridge            , LeaveOneClipOutForAllSubject, pca10, rewatch    , True, True, 0.183, 0.000, 0.032
linear_regression, LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True, 0.201, 0.000, 0.033
ridge            , LeaveOneClipOutForAllSubject, pca11, rewatch    , True, True, 0.196, 0.000, 0.037
linear_regression, LeaveOneSubjOut, pca2, valence    , True, True, 0.136, 0.003, 0.018
ridge            , LeaveOneSubjOut, pca2, valence    , True, True, 0.131, 0.004, 0.014
